datetime,value
2023/10/23,45
2023/10/24,6
2023/10/26,6
2023/10/29,3
2023/10/30,3
2023/10/31,5
2023/11/1,7
2023/11/2,4
2023/11/3,9
2023/11/4,11
2023/11/5,18
2023/11/6,5
2023/11/7,14
2023/11/8,18
2023/11/9,13
2023/11/10,18
2023/11/11,20
2023/11/12,25
2023/11/13,18
2023/11/14,31
2023/11/15,44
2023/11/16,46
2023/11/17,50
2023/11/18,69
2023/11/19,120
2023/11/20,126
2023/11/21,261
2023/11/22,207
2023/11/23,186
2023/11/24,207
2023/11/25,72
2023/11/26,135
2023/11/27,78
2023/11/28,93
2023/11/29,99
2023/11/30,81
2023/12/1,78
2023/12/2,87
2023/12/3,116
2023/12/4,127
2023/12/5,87
2023/12/6,93
2023/12/7,78
2023/12/8,108
2023/12/9,85
2023/12/10,114
2023/12/11,87
2023/12/12,91
2023/12/13,135
2023/12/14,117
2023/12/15,102
2023/12/16,87
2023/12/17,63
2023/12/18,47
2023/12/19,30
